Month,Department,Metric,Value
04/01/2019,Bus,Bus Collision Per Million Miles,53.04
04/01/2019,Bus,Bus Collision Injuries Per Million Miles,3.76
04/01/2019,Bus,Bus Customer Accidents per million customers,1.48
04/01/2019,Subway,Subway Customer Accidents,2.8
04/01/2019,Subway,Subway Fires,57
05/01/2019,Bus,Bus Collision Per Million Miles,57.92
05/01/2019,Bus,Bus Collision Injuries Per Million Miles,7.61
05/01/2019,Bus,Bus Customer Accidents per million customers,1.57
05/01/2019,Subway,Subway Customer Accidents,2.81
05/01/2019,Subway,Subway Fires,50
06/01/2019,Bus,Bus Collision Per Million Miles,60.88
06/01/2019,Bus,Bus Collision Injuries Per Million Miles,8.04
06/01/2019,Bus,Bus Customer Accidents per million customers,1.44
06/01/2019,Subway,Subway Customer Accidents,2.98
06/01/2019,Subway,Subway Fires,43
07/01/2019,Bus,Bus Collision Per Million Miles,51.79
07/01/2019,Bus,Bus Collision Injuries Per Million Miles,6.35
07/01/2019,Bus,Bus Customer Accidents per million customers,1.65
07/01/2019,Subway,Subway Customer Accidents,2.5
07/01/2019,Subway,Subway Fires,59
08/01/2019,Bus,Bus Collision Per Million Miles,48.87
08/01/2019,Bus,Bus Collision Injuries Per Million Miles,6.15
08/01/2019,Bus,Bus Customer Accidents per million customers,1.81
08/01/2019,Subway,Subway Customer Accidents,2.55
08/01/2019,Subway,Subway Fires,55
09/01/2019,Bus,Bus Collision Per Million Miles,58.69
09/01/2019,Bus,Bus Collision Injuries Per Million Miles,7.5
09/01/2019,Bus,Bus Customer Accidents per million customers,1.54
09/01/2019,Subway,Subway Customer Accidents,2.33
09/01/2019,Subway,Subway Fires,52
10/01/2019,Bus,Bus Collision Per Million Miles,53.26
10/01/2019,Bus,Bus Collision Injuries Per Million Miles,6.24
10/01/2019,Bus,Bus Customer Accidents per million customers,1.55
10/01/2019,Subway,Subway Customer Accidents,2.37
10/01/2019,Subway,Subway Fires,58
11/01/2019,Bus,Bus Collision Per Million Miles,57.97
11/01/2019,Bus,Bus Collision Injuries Per Million Miles,7.08
11/01/2019,Bus,Bus Customer Accidents per million customers,1.65
11/01/2019,Subway,Subway Customer Accidents,2.52
11/01/2019,Subway,Subway Fires,71
12/01/2019,Bus,Bus Collision Per Million Miles,57.22
12/01/2019,Bus,Bus Collision Injuries Per Million Miles,5.81
12/01/2019,Bus,Bus Customer Accidents per million customers,1.12
12/01/2019,Subway,Subway Customer Accidents,4.07
12/01/2019,Subway,Subway Fires,74
01/01/2020,Bus,Bus Collision Per Million Miles,46.93
01/01/2020,Bus,Bus Collision Injuries Per Million Miles,5.76
01/01/2020,Bus,Bus Customer Accidents per million customers,1.4
01/01/2020,Subway,Subway Customer Accidents,3.1
01/01/2020,Subway,Subway Fires,74
02/01/2020,Bus,Bus Collision Per Million Miles,48.14
02/01/2020,Bus,Bus Collision Injuries Per Million Miles,4.45
02/01/2020,Bus,Bus Customer Accidents per million customers,1.16
02/01/2020,Subway,Subway Customer Accidents,2.99
02/01/2020,Subway,Subway Fires,86
03/01/2020,Bus,Bus Collision Per Million Miles,41.32
03/01/2020,Bus,Bus Collision Injuries Per Million Miles,6.05
03/01/2020,Bus,Bus Customer Accidents per million customers,1.7
03/01/2020,Subway,Subway Customer Accidents,3.91
03/01/2020,Subway,Subway Fires,75
04/01/2020,Bus,Bus Collision Per Million Miles,22.26
04/01/2020,Bus,Bus Collision Injuries Per Million Miles,1.69
04/01/2020,Bus,Bus Customer Accidents per million customers,2.03
04/01/2020,Subway,Subway Customer Accidents,13.63
04/01/2020,Subway,Subway Fires,60
05/01/2020,Bus,Bus Collision Per Million Miles,29.73
